dgp,n,base,rival,metric,delta_mean,delta_sd,delta_p90,t_stat,p_value,n_rep_used
DGP3,250,ORF,CF,rmse,0.04552041549155404,0.11136673598435998,0.17996472965863497,2.2387796653421916,0.033009815327340396,30
DGP3,250,ORF,CF,bias,0.0639787950910619,0.19655875975323836,0.2958756199690059,1.782806796164578,0.08509000891188243,30
DGP3,250,ORF,CF,mae,0.030367534406530935,0.09923631636034075,0.13995529621725886,1.6760984506795467,0.10446900432064414,30
DGP3,250,ORF,CF,spearman,-0.055443258966664244,0.1386423670446458,0.06393290130248122,-2.1903494757748603,0.03668770139547615,30
DGP3,250,ORF,CF,gates_rmse,0.05219741204552877,0.16586067649583927,0.2268291033806368,1.72371779886266,0.09540605314459091,30
DGP3,250,ORF,CF,pointwise_cover_rate,0.16513333333333333,0.12449033568177456,0.342,7.265403468257169,5.316119190154819e-08,30
DGP3,250,ORF,DML-CF,rmse,0.07325348436641548,0.09084672732298778,0.2059006001584253,4.416514164642363,0.00012785373510198816,30
DGP3,250,ORF,DML-CF,bias,0.005144020686440668,0.17649432996712713,0.2378288816796548,0.15963663913517984,0.8742739931799041,30
DGP3,250,ORF,DML-CF,mae,0.057055211799985885,0.0792500400168304,0.17457171806121352,3.9432694948104148,0.0004665932474563447,30
DGP3,250,ORF,DML-CF,spearman,-0.10072341089364358,0.1702995402581534,0.046625706502825985,-3.239496955287222,0.0029993314578077817,30
DGP3,250,ORF,DML-CF,gates_rmse,0.08483955975760367,0.14486872486337432,0.26335887870830715,3.20763095636215,0.003254356680534689,30
DGP3,250,ORF,DML-CF,pointwise_cover_rate,0.16026666666666667,0.0925377586804932,0.2942,9.486037894280537,2.1546990505046554e-10,30
DGP3,500,ORF,CF,rmse,0.023160977464505426,0.04485518282243832,0.06970202016178917,2.828165891419018,0.008402437531677626,30
DGP3,500,ORF,CF,bias,0.024952689125381327,0.11692848546225104,0.16332546165935236,1.168846979446893,0.25198386726022326,30
DGP3,500,ORF,CF,mae,0.013731435574633381,0.03649445443792266,0.060232234971245795,2.060865719735288,0.04838455524177086,30
DGP3,500,ORF,CF,spearman,-0.026214415354121445,0.14129409853095568,0.11624155875778847,-1.0161943613035187,0.31794042127396915,30
DGP3,500,ORF,CF,gates_rmse,0.0387678248408806,0.07811720583718444,0.12063676123729912,2.718224742320707,0.010961156429511442,30
DGP3,500,ORF,CF,pointwise_cover_rate,0.17753333333333335,0.07080363001279316,0.258,13.733619499195289,3.19363880565035e-14,30
DGP3,500,ORF,DML-CF,rmse,0.040969240269684716,0.047019608737883294,0.09031567487045214,4.772429559048163,4.773503370049233e-05,30
DGP3,500,ORF,DML-CF,bias,0.012839565919157915,0.10127835739899958,0.1446622551581097,0.6943753890865145,0.4929725612631001,30
DGP3,500,ORF,DML-CF,mae,0.0334139047509807,0.03751937934356904,0.07386963565173621,4.877892355001903,3.561538303576266e-05,30
DGP3,500,ORF,DML-CF,spearman,-0.11373510134040539,0.11712588916264195,0.0427464557858232,-5.318660206521238,1.0463254088558461e-05,30
DGP3,500,ORF,DML-CF,gates_rmse,0.030222231732966842,0.08504511916388886,0.12331816866920547,1.946425405836006,0.06134972567613348,30
DGP3,500,ORF,DML-CF,pointwise_cover_rate,0.17106666666666667,0.07480500321333544,0.2354000000000001,12.525508742154175,3.176053128523526e-13,30
DGP3,1000,ORF,CF,rmse,0.016107416720814127,0.0342171888050442,0.054080708212007084,2.5783519304850713,0.015271118902522158,30
DGP3,1000,ORF,CF,bias,-0.031333909291472645,0.08141988433860395,0.06561173624041827,-2.10787439372756,0.04380232963249022,30
DGP3,1000,ORF,CF,mae,0.010469867885399024,0.0299425649165166,0.04660694993559212,1.9151942496979306,0.06537689987925593,30
DGP3,1000,ORF,CF,spearman,0.008603912815651258,0.06885631318235902,0.08225865863463457,0.684404510514417,0.49915322412532404,30
DGP3,1000,ORF,CF,gates_rmse,0.03657845040970571,0.06547998046862426,0.1306943198789443,3.0596897348770447,0.004735578787900533,30
DGP3,1000,ORF,CF,pointwise_cover_rate,0.19186666666666669,0.05106840127902383,0.2464,20.57822425113259,7.572498826163635e-19,30
DGP3,1000,ORF,DML-CF,rmse,0.05892570774642817,0.035030206205832436,0.10170039470505678,9.213459709609682,4.0925493052298996e-10,30
DGP3,1000,ORF,DML-CF,bias,-0.048503095778402956,0.0589980567837093,0.016529534810968263,-4.502900792827542,0.00010072417999772654,30
DGP3,1000,ORF,DML-CF,mae,0.05093494362429351,0.03189184523702039,0.10060840266500036,8.747758990092848,1.2526494621315378e-09,30
DGP3,1000,ORF,DML-CF,spearman,-0.11458257353029414,0.07414647583389551,0.002775294301177213,-8.46425396672008,2.509955738883946e-09,30
DGP3,1000,ORF,DML-CF,gates_rmse,0.028123052073564216,0.05100249439832103,0.10269418672586984,3.020171893218351,0.005228911775468011,30
DGP3,1000,ORF,DML-CF,pointwise_cover_rate,0.11406666666666664,0.06578016330975069,0.19999999999999996,9.497830842796782,2.0961794179462825e-10,30
