dgp,n,base,rival,metric,delta_mean,delta_sd,delta_p90,t_stat,p_value,n_rep_used
RCT,250,ORF,CF,rmse,0.034344005752105854,0.061842374707892216,0.12730331036570477,3.041763314291831,0.004953616024457053,30
RCT,250,ORF,CF,bias,0.018180901566414283,0.12355896989168981,0.15331826442013688,0.805938242479299,0.4268380886373919,30
RCT,250,ORF,CF,mae,0.0242126341632899,0.05473257233512535,0.10538245639854421,2.423018934073223,0.021865057634168916,30
RCT,250,ORF,CF,spearman,-0.05155051508050761,0.18325715451756436,0.05428255754369246,-1.5407518486760108,0.13421932236861808,30
RCT,250,ORF,CF,gates_rmse,0.026719116428883107,0.09478746837978581,0.15606124604244037,1.5439448942838436,0.13344518279853887,30
RCT,250,ORF,CF,pointwise_cover_rate,0.14766666666666667,0.09367454051251003,0.2614,8.634188530033743,1.6526959191283523e-09,30
RCT,250,ORF,DML-CF,rmse,0.0410948625265066,0.05098541955303119,0.09892823885955229,4.414709813249585,0.00012849152960098863,30
RCT,250,ORF,DML-CF,bias,0.018951480876068467,0.09859526839856547,0.134134632404279,1.0528044339804745,0.3011241991404522,30
RCT,250,ORF,DML-CF,mae,0.03394638229315657,0.04260624323699157,0.07527070070129271,4.363961221418561,0.00014777904353013206,30
RCT,250,ORF,DML-CF,spearman,-0.07330501322005285,0.13604418669438711,0.10144118656474638,-2.9513065052190055,0.006207290265333928,30
RCT,250,ORF,DML-CF,gates_rmse,0.03051373985553733,0.10519678939646321,0.15108630807622306,1.5887427485770902,0.12296291913842033,30
RCT,250,ORF,DML-CF,pointwise_cover_rate,0.2385333333333333,0.08197885906337884,0.3344,15.937046316118943,6.966129750746516e-16,30
RCT,500,ORF,CF,rmse,0.013168099168126078,0.0478387113424448,0.07973641337152447,1.5076628846079347,0.14245847496536074,30
RCT,500,ORF,CF,bias,-0.043912763169212395,0.07309907981155324,0.03219570316373627,-3.2903301946022965,0.002631754288192656,30
RCT,500,ORF,CF,mae,0.011743846265696618,0.03843259848647434,0.06110875081736067,1.6736754122567599,0.10494878847830566,30
RCT,500,ORF,CF,spearman,-0.01930550687776556,0.14109635708922139,0.11723498733994946,-0.7494213046433854,0.45963978750102685,30
RCT,500,ORF,CF,gates_rmse,0.013644237257758488,0.07357408321612621,0.11881097592000996,1.0157457897332982,0.31815040828349916,30
RCT,500,ORF,CF,pointwise_cover_rate,0.14673333333333333,0.07031256979562309,0.2294,11.430268704187553,2.925824348423142e-12,30
RCT,500,ORF,DML-CF,rmse,0.046388290400310145,0.04920161876695739,0.10803499294026982,5.164040064757698,1.6077695678222432e-05,30
RCT,500,ORF,DML-CF,bias,-0.03057444840620015,0.06636568430701277,0.0381847158675862,-2.5233394713273727,0.017361268611148842,30
RCT,500,ORF,DML-CF,mae,0.04074886667466474,0.0421903800073631,0.09433920225585041,5.29008590740099,1.1327359732950795e-05,30
RCT,500,ORF,DML-CF,spearman,-0.18482120648482597,0.12835065670723625,-0.0682953067812272,-7.887045262881931,1.067195999669529e-08,30
RCT,500,ORF,DML-CF,gates_rmse,-0.025012932688343252,0.10131648241285768,0.10661597384266534,-1.3522130986483307,0.18675884286714312,30
RCT,500,ORF,DML-CF,pointwise_cover_rate,0.17833333333333334,0.08847533587091526,0.3030000000000001,11.040047314910993,6.676855652266853e-12,30
RCT,1000,ORF,CF,rmse,-0.012229883605813117,0.020756751023190228,0.012865015934128579,-3.227182866471999,0.003095523407815365,30
RCT,1000,ORF,CF,bias,-0.030576195564557946,0.037380562477899754,0.01459479576902254,-4.480208676180078,0.00010724150352573273,30
RCT,1000,ORF,CF,mae,-0.007727258427091803,0.01765565285981716,0.021764684447287498,-2.3971890372984483,0.023186463120915834,30
RCT,1000,ORF,CF,spearman,0.04001148804595219,0.058825501581644186,0.10292449809799231,3.725458172541056,0.0008384807874566327,30
RCT,1000,ORF,CF,gates_rmse,0.0020445269036576874,0.032191929359921524,0.028344939419858033,0.34786156866810325,0.7304565107499614,30
RCT,1000,ORF,CF,pointwise_cover_rate,0.1798666666666667,0.04711814449052387,0.2364,20.908512366485287,4.90855954716731e-19,30
RCT,1000,ORF,DML-CF,rmse,0.03902618985444277,0.02678815011580819,0.06926002721668785,7.979470185268022,8.440007315968267e-09,30
RCT,1000,ORF,DML-CF,bias,-0.04096582828692963,0.03491383029480669,-0.00017219325134065546,-6.426653291882481,4.976025970309655e-07,30
RCT,1000,ORF,DML-CF,mae,0.03831566871760228,0.021603748797067182,0.0667499620565815,9.714219629037165,1.2688511947048448e-10,30
RCT,1000,ORF,DML-CF,spearman,-0.13757135988543953,0.043774877143293166,-0.08639259837039351,-17.21328350717284,9.175307599900402e-17,30
RCT,1000,ORF,DML-CF,gates_rmse,-0.05599275372247815,0.043215480740785496,-0.0003123606036917549,-7.096645402277945,8.28639633854273e-08,30
RCT,1000,ORF,DML-CF,pointwise_cover_rate,0.14106666666666667,0.0713084283519346,0.2064000000000001,10.835380505662094,1.03686875618312e-11,30
